,uid,mat,createtime,voteUp,content
46,452587199,0,1565889811000,1,张小敬是缺个小手指，腰上少块肉的人，才受伤一天而已，打架没痛觉吗？
46,1254545485,0,1566043638000,1,张小敬对自己兄弟从不手软👍
46,1037921982,0,1566115634000,0,长安虐我千百遍，我待长安如初恋
46,427905544,0,1566046920000,0,张小敬价值观有问题
46,949787148,0,1565758496000,0,隆哥，你可憋吹牛逼了
46,591742372,0,1565965319000,0,崔器不在的第六个时辰想他
46,327680338,0,1565782576000,0,可快了
46,1741726949,0,1565777471000,0,请不要上升真人，这只能证明雷演技好
46,1129765427,0,1565772040000,1,都被徐斌玩了
46,1079705402,0,1565759473000,5,这段戏感动了，周一围爷们儿
46,1088457547,0,1565958863000,0,分我华夏者，必朝灭族
46,1047313216,0,1566118159000,0,圣人死了林相上位会死很多人
46,1254939106,0,1565842873000,0,很明显穿皮甲的占便宜
46,809681241,0,1565883505000,0,陕西的举手!
46,1526404553,0,1565773699000,1,元评事能不能早点死
46,1472665030,0,1565774504000,0,很明显那个玩意伤不了百姓
46,1668910848,0,1565773946000,0,王韫秀走路老是晃脑袋
46,392394203,0,1565790940000,0,余锋 第46集 打卡
46,1004154879,0,1565930230000,0,因为龙波内心还有良知，对圣人的感情比较复杂
46,1436501068,0,1565914657000,0,不用猜了，终极boss徐宾，大案牍术无敌。
46,1247919516,0,1566022382000,3,反正张小敬就是打自己人杀自己人
46,1719498340,0,1566050840000,0,龙波：试试会员色！
46,1306885795,0,1565792503000,0,事实证明龙波才是对的
46,1091375730,0,1566043386000,0,萧归想为第八团讨说法张小敬想守住信仰他们都没有错
46,1046696995,0,1565923003000,0,杀了张小敬杀了张小敬杀了张小敬杀了张小敬杀了张小敬
46,1333430687,0,1565795141000,0,我真的是想不通这些兵什么脑子，无论哪边的兵都听元载
46,973619941,0,1565882914000,0,我觉得后半段的戏简直拖沓
46,1333430687,0,1565794700000,0,王蕴秀他爹养出来个啥
46,1254545485,0,1566043636000,0,反正张小敬就是打自己人杀自己人
46,1516205453,0,1566029224000,0,得加钱
46,1333430687,0,1565794457000,0,别信他的，他有个屁家业
46,1184437921,0,1565889946000,4,龙波：张小敬被长安奴化了
46,403777588,0,1565786360000,0,这无脑女
46,703602781,0,1566056672000,1,李必：看到上集开始越发喜欢周一围了
46,1341006877,0,1565862021000,0,张小敬：两个人都是为了义，道不同罢了，出
46,1001398521,0,1565973521000,0,如果不是张小敬，今天长安得死多少人？
46,1215845798,0,1566031138000,3,我试下自己最新买的键盘还挺好使
46,1155546196,0,1565773183000,0,最后几集真的没意思了
46,731332558,0,1565766273000,0,心里有恨就可以肆意屠杀平民？
46,953351418,0,1566065598000,1,原来这个王小姐是赵本山的女儿！
46,1531919742,0,1565955032000,2,张小敬：老头我劝你别跑
46,854230042,0,1565945075000,1,终于翻脸了，早该打一场
46,1649141328,0,1565782217000,0,那个坑爹的王云袖
46,504455072,0,1565785191000,4,这李大爷看啥热闹呢。
46,1573880764,0,1566046019000,0,呵呵
46,1683869793,0,1566059443000,0,张小敬从出场就是护长安的，黑他的都没脑子吧
46,726133181,0,1566013926000,0,都有理由
46,1683869793,0,1566059460000,0,圣人好淡定
46,1148185767,0,1565964335000,0,还能寄快递哦
46,1038557821,0,1566111576000,0,我要是有张小敬这种兄弟，我也是服我自己
46,1578574616,0,1566048450000,0,易烊千玺!
46,850396561,0,1566055168000,0,张小敬这叛徒怎么还不死
46,1316304457,0,1566120853000,0,终究还是敌人
46,1505806365,0,1566059182000,0,我叫谢颖
46,1036750685,0,1565944088000,1,张小敬是大义
46,1049760567,0,1566095882000,0,你们哪个女的不烦，叽叽歪歪
46,1456085670,0,1565795561000,0,也有可能是敌国那个人给的信
46,351803251,0,1566044987000,0,找工作，上智联
46,901181196,0,1565974458000,0,死了
46,1333430687,0,1565794841000,0,套路深 活着才有输出
46,1327713783,0,1565956939000,0,有张小敬这种兄弟真是造孽！！保持队形
46,1550157899,0,1566133566000,0,李必我爱你
46,1668910848,0,1565773978000,0,王韫秀走路老是晃脑袋
46,1224933597,0,1566127811000,0,单身狗：徐宾啊
46,1443196012,0,1565950849000,1,圣人：我就看着你俩打，我也不管
46,1148185767,0,1565963924000,0,旭日升冰茶
46,1039328155,0,1565884816000,0,元载不死，我要骂死编剧
46,1333430687,0,1565794816000,0,圣人无限洗脑
46,1035209025,0,1566124015000,0,杀了张小敬
46,1718532825,0,1566138594000,0,张小敬：老子会员
46,1215845798,0,1566031208000,1,发生了什么
46,570890255,0,1565769073000,1,神烦张小敬
46,413217061,0,1565954402000,0,圣人默默看戏
46,1649914970,0,1566047278000,0,千玺的演技真的很好
