,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
18,1537641830,6,珊珊小杰子,3,1566136064298,0,0,看看
18,1373810231,10,果断de小暑80474,0,1566135197557,0,0,为什么六集和18集不可以看
18,1135672965,29,熏雪勋,4,1566105966912,0,0,屋里千玺啊
18,1512351652,17,他甜得快要你的命_,2,1566096023262,0,1,剧情还是ok的
18,838738337,38,昵称6666666,5,1566095723082,0,1,。。
18,1324318606,5,Nicole大小姐68835,1,1566067465960,0,0,超好看的der～
18,426705988,36,爷们43455,6,1566065104216,2,0, 慢慢看，你会发现越来越好看！剧情曲折却很真实，演员演技都在线，雷佳音一直给人惊喜，说实话千玺虽然很年轻，但感觉未来可塑性很强，比现在很多什么鲜肉有悟性很多，三个人里面也最看好他
18,1331722170,14,芒果与霖,3,1566059571358,1,0,好
18,792806826,20,ykapp_dzyk9zj9,2,1566057404321,1,0,很好看
18,1132900930,39,小溪流水哗啦啦啦啦啦,6,1566056078531,1,0,哇
18,1754402156,4,蓝胖子呢308809825,3,1566049965463,1,0,从十七集就打不开。。
18,1359548277,14,坤哎97170,2,1566015584978,1,1,18级没法看啊
18,1611245453,9,几点无,0,1565971471434,2,0,张都尉捉狼，全城武侯听令！
18,1036554791,24,ljyilove1985,6,1565971287692,1,0,好一幅长安美画，剧情角色俱佳，很用心的一部好剧
18,1519077132,7,朦胧de鲁思1,0,1565933703773,0,0,干！为什么易烊千玺的声音那么尖，我太难了
18,591641452,50,朝日山乘,5,1565928918593,1,0,一共48集，每集30分钟左右的正片，正好十二时辰。
18,1577445549,7,古典同学i朱利安o的,0,1565888161632,3,0,雷佳音演的不错
18,1149912559,10,上海汤包铺,3,1565874090991,0,0,好看，就是刚开始沒怎么看懂
18,1031446127,8,听说你心想事成了,2,1565801881112,0,0,十二
18,817912951,24,高级de蕾妮A,3,1565795923547,1,0,18集21分50秒  后面那个插刀的怎么回事那么慢  哈哈
18,1316699930,21,禾子小姐的碧琪派,5,1565792903771,0,0,赞
18,958407388,26,烧纸玩,5,1565779821661,3,0,第18集为什么打不开
18,1737510017,2,格格巫llc,1,1565776563914,0,0,优秀
18,1385406116,11,囍摄影莘迪,1,1565774434646,1,0,嗯好看制作也赞。演员演技都到位[赞]
18,1351002351,17,小仙女wsy,3,1565759105957,0,0,啦啦啦
18,984835307,4,梻輄樸曌d,6,1565740106942,0,0,哦
18,513254093,45,小海哥2012,1,1565711340577,1,0,0
18,1047588056,4,南陌痕,4,1565705311221,0,0,关键的第17集看不了啊
18,1033017609,52,阿武啊666999888555,1,1565704835724,0,0,电视剧不能写的太直白，所以说是止咳药，其实就是道长仙丹吧
18,1707161010,8,爱吃麻辣烫匿名公共关系,1,1565703102515,0,0,18.集怎么看不了？
18,1340132383,3,不忘初心火,0,1565702403847,1,0,很好
18,1751682220,7,的坎伯兰微笑酱,0,1565699682288,2,0,檀祺跟张柏芝长得挺像啊
18,386702562,50,张佑520赫,6,1565690666966,0,0,没看的下去
18,1545003787,26,y如花de迪莉娅,0,1565682045908,0,0,不怎么样，长的也不怎么样
18,1184322753,38,圆润的掌柜酱,6,1565676006964,0,2,太过冗长，有的戏添加成风明显
18,1635098764,3,仄言是小姐姐,0,1565671030339,0,0,李必
18,1481349763,4,aA安简子,1,1565640228066,4,0,"24小时，四十多集，这剧情设计可以，紧凑还行，刚看以为得是一部回忆片，毕竟才24小时发生的事情，却需要四十多集叙述，结果回忆穿插并不多。
紧凑，蛮好看。"
18,1199610754,17,写实滴兰花,4,1565627741990,0,0,这个啥子才是大坏蛋，坏蛋那边的卧底
18,1644475162,6,天津暖气管,0,1565624644738,0,0,小千玺演的可以啦，李必的青涩和稳重都到位，毕竟年龄在那里呢，给以鼓励
18,1551048332,8,tb26403231,1,1565623519402,0,0,太热了吗，我根本打不开电视了
18,909313728,22,啊都重复,3,1565621263095,2,0,讨厌崔器这个人物塑造的死德行！
18,1722009336,7,桑封建略微h巴赫de,0,1565619290585,0,0,nb
18,399300581,5,知了_n,0,1565614663847,0,0,我偷电瓶车养你啊
18,1071773058,26,浩然酷,5,1565610532499,0,0,有点看不懂啊
18,1605441969,1,特富饶大寒de同志,0,1565600211262,0,0,十二小时真长
18,417597897,37,游俠9527,2,1565582469643,1,0,好看
18,1093351336,100,抗原决定族,6,1565532160811,0,0,好
18,1386230884,11,t_1516617523396_0693,1,1565530966864,2,0,看的我紧张的不行啊，太让人焦躁了
18,1169467513,17,H严峻de贵妃,4,1565527217182,2,3,音量忽高忽低，没有字幕简直听不懂！粗制滥造！
18,1350647646,22,彬8426022873,4,1565525731413,0,0,有几集怎么也打不开。奇了怪了
18,1091787322,46,心点小熊,0,1565523077436,1,0,谢娜配张杰 天长地久[阴险]
18,1577531384,100,g玉米骨头,0,1565521034512,2,0,我在起点《影帝之巅峰演技》我的这部小说，专门写了长安的故事剧情，为我的一万书友免费安利了这部剧。
18,607640496,35,z798999,0,1565513248044,0,0,这剧绝对砍掉30集都没问题。会好看的多。
18,607640496,35,z798999,0,1565513227292,0,0,//这剧绝对砍掉30集都没问题。会好看的多。
18,607640496,35,z798999,0,1565513117153,0,0,这剧绝对砍到30集都没问题。会好看的多。
18,1363264532,18,司i陈家洛,3,1565505326566,0,0,18集看不到吗
18,1750998555,5,书瑶温仪酱的,1,1565503267105,0,0,18集看不了
18,586893225,100,我不是欧莱雅m,3,1565497014534,1,0,热依扎演技好
